#time deltaF
20 12.1243385254
40 13.9917812766
60 3.68280681004
80 -0.219258754364
100 8.36607122217
120 13.429977729
140 16.5757668963
160 17.611876433
180 19.3559500315
200 6.07333578403
220 10.1707008929
240 6.23886383742
260 9.24518449846
280 5.44800878513
300 8.74112123464
320 9.68561043458
340 9.29402204374
360 10.5171084879
380 8.01924549919
400 5.26892270687
420 8.41063753133
440 9.55676362843
460 8.9139305413
480 8.60369502563
500 12.9729818738
520 14.7558546387
540 14.4263591027
560 9.65332886072
580 10.8501480387
600 10.8930233222
620 11.2557694796
640 9.28030603712
660 8.12162346893
680 8.60105913715
700 9.11705068876
720 9.67234561647
740 10.6017575573
760 11.682091
780 11.9658905866
800 10.1264392638
820 10.6577774387
840 11.0007375615
860 9.99913258548
880 10.8985051221
900 10.020963923
920 9.97791201426
940 10.3427529151
960 11.134934054
980 11.4643657393
1000 12.4377503292
1020 13.1360855498
1040 12.6055604371
1060 12.8995185129
1080 12.6634556414
1100 12.7792943209
1120 9.65263193255
1140 9.75484848545
1160 8.74535196223
1180 8.7238188903
1200 8.79526138517
1220 9.21844348544
1240 10.3381859454
1260 9.78787581392
1280 10.4156796589
1300 11.0570535228
1320 9.14291112255
1340 9.28399890543
1360 9.74166211668
1380 10.0832440178
1400 8.91478873636
1420 9.30254459823
1440 9.82833189143
1460 11.1760697413
1480 10.434372536
1500 10.7054194379
1520 11.0308156362
1540 8.83216655051
1560 9.52563761811
1580 9.90051280995
1600 10.0862741366
1620 10.7234377797
1640 10.5637503421
1660 10.7487465918
1680 11.417607895
1700 11.7907111884
1720 12.0504150039
1740 12.1732378603
1760 12.4401804991
1780 12.6715020155
1800 12.8465425205
1820 12.7884135723
1840 12.0360214065
1860 10.8954925679
1880 10.1149613306
1900 8.98461550025
1920 9.52762689058
1940 8.68644565922
1960 9.19462984767
1980 9.39463623301
2000 9.64060166805
2020 9.713893353
2040 8.9484732801
2060 9.2264834182
2080 8.75848311211
2100 9.05610861744
