#time deltaF
10 1.98799
20 2.80295
30 3.76007
40 4.82876
50 6.20718
60 6.93434
70 8.17811
80 9.43326
90 10.5401
100 11.3844
110 12.1848
120 13.0014
130 13.7472
140 14.5911
150 15.4307
160 15.9577
170 16.6489
180 17.2234
190 17.656
200 17.9785
210 18.6279
220 19.2724
230 20.1384
240 20.5869
250 20.8889
260 21.2337
270 21.8246
280 22.1343
290 22.935
300 23.6402
310 23.9688
320 24.5061
330 24.8752
340 25.3698
350 25.6809
360 26.0101
370 26.3436
380 26.6714
390 27.007
400 27.2434
410 27.3857
420 27.6023
430 27.7407
440 26.4089
450 24.4606
460 22.7224
470 20.2965
480 18.2219
490 16.0761
500 14.0934
510 12.2947
520 11.3709
530 11.5712
540 11.9248
550 11.6384
560 9.81317
570 8.64267
580 7.71726
590 6.26521
600 5.53691
610 5.15382
620 4.88277
630 5.37024
640 5.76631
650 6.12698
660 6.29809
670 6.71388
680 6.99071
690 7.39526
700 7.61112
710 7.91611
720 8.17033
730 8.4309
740 8.70138
750 8.89644
760 9.13964
770 9.47009
780 9.6433
790 9.83589
800 10.0328
810 10.2885
820 10.4339
830 10.751
840 10.9674
850 11.2135
860 11.4372
870 11.8514
880 11.5872
890 11.9253
900 12.1527
910 12.468
920 12.7634
930 12.9593
940 13.0358
950 12.5407
960 11.942
970 12.1857
980 12.4127
990 12.6231
1000 12.8815
1010 13.1177
1020 13.0932
1030 12.44
1040 12.3549
1050 12.2494
1060 12.4801
1070 12.6643
1080 12.8133
1090 12.9361
1100 13.2019
1110 12.6341
1120 11.2321
1130 10.5331
1140 9.70825
1150 9.15974
1160 8.89882
1170 9.20316
1180 9.36867
1190 9.57824
1200 9.69905
1210 9.87597
1220 10.0303
1230 10.2001
1240 10.2414
1250 10.3096
1260 10.3531
1270 10.0832
1280 9.512
1290 8.58256
1300 7.94138
1310 7.92613
1320 8.185
1330 8.40634
1340 8.63899
1350 8.7277
1360 8.82448
1370 9.05974
1380 9.20549
1390 9.06676
1400 9.24868
1410 9.38186
1420 9.43981
