#time av_kernels_num std_dev
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 2.899999999999999911e+00 2.999999999999999889e-01
4.000000000000000000e+00 3.899999999999999911e+00 2.999999999999999889e-01
5.000000000000000000e+00 4.900000000000000355e+00 2.999999999999999334e-01
6.000000000000000000e+00 5.799999999999999822e+00 3.999999999999999667e-01
7.000000000000000000e+00 6.799999999999999822e+00 3.999999999999999667e-01
8.000000000000000000e+00 7.799999999999999822e+00 3.999999999999999667e-01
9.000000000000000000e+00 8.599999999999999645e+00 6.633249580710799398e-01
1.000000000000000000e+01 9.500000000000000000e+00 6.708203932499369193e-01
1.100000000000000000e+01 1.040000000000000036e+01 6.633249580710799398e-01
1.200000000000000000e+01 1.130000000000000071e+01 7.810249675906655309e-01
1.300000000000000000e+01 1.219999999999999929e+01 7.483314773547883325e-01
1.400000000000000000e+01 1.300000000000000000e+01 8.944271909999158554e-01
1.500000000000000000e+01 1.400000000000000000e+01 8.944271909999158554e-01
1.600000000000000000e+01 1.469999999999999929e+01 9.000000000000000222e-01
1.700000000000000000e+01 1.569999999999999929e+01 9.000000000000000222e-01
1.800000000000000000e+01 1.669999999999999929e+01 9.000000000000000222e-01
1.900000000000000000e+01 1.750000000000000000e+01 9.219544457292887518e-01
2.000000000000000000e+01 1.839999999999999858e+01 7.999999999999999334e-01
2.100000000000000000e+01 1.919999999999999929e+01 9.797958971132711969e-01
2.200000000000000000e+01 2.010000000000000142e+01 1.044030650891054846e+00
2.300000000000000000e+01 2.100000000000000000e+01 1.183215956619923181e+00
2.400000000000000000e+01 2.169999999999999929e+01 1.100000000000000089e+00
2.500000000000000000e+01 2.250000000000000000e+01 1.024695076595959931e+00
2.600000000000000000e+01 2.310000000000000142e+01 1.300000000000000044e+00
2.700000000000000000e+01 2.400000000000000000e+01 1.341640786499873839e+00
2.800000000000000000e+01 2.480000000000000071e+01 1.248999599679679662e+00
2.900000000000000000e+01 2.569999999999999929e+01 1.268857754044951935e+00
3.000000000000000000e+01 2.639999999999999858e+01 1.356465996625053849e+00
3.100000000000000000e+01 2.730000000000000071e+01 1.268857754044952157e+00
3.200000000000000000e+01 2.810000000000000142e+01 1.300000000000000044e+00
3.300000000000000000e+01 2.880000000000000071e+01 1.399999999999999911e+00
3.400000000000000000e+01 2.969999999999999929e+01 1.552417469626002244e+00
3.500000000000000000e+01 3.039999999999999858e+01 1.562049935181331062e+00
3.600000000000000000e+01 3.119999999999999929e+01 1.661324772583614884e+00
3.700000000000000000e+01 3.189999999999999858e+01 1.920937271229854693e+00
3.800000000000000000e+01 3.270000000000000284e+01 2.100000000000000089e+00
3.900000000000000000e+01 3.329999999999999716e+01 2.193171219946130623e+00
4.000000000000000000e+01 3.400000000000000000e+01 2.236067977499789805e+00
4.100000000000000000e+01 3.479999999999999716e+01 2.481934729198171041e+00
4.200000000000000000e+01 3.570000000000000284e+01 2.570992026436488054e+00
4.300000000000000000e+01 3.610000000000000142e+01 2.071231517720797832e+00
4.400000000000000000e+01 3.670000000000000284e+01 1.899999999999999911e+00
4.500000000000000000e+01 3.739999999999999858e+01 1.743559577416269324e+00
4.600000000000000000e+01 3.800000000000000000e+01 1.843908891458577504e+00
4.700000000000000000e+01 3.860000000000000142e+01 1.959591794226542394e+00
4.800000000000000000e+01 3.950000000000000000e+01 2.012461179749810647e+00
4.900000000000000000e+01 4.020000000000000284e+01 1.989974874213239930e+00
5.000000000000000000e+01 4.089999999999999858e+01 1.757839583124694460e+00
5.100000000000000000e+01 4.120000000000000284e+01 2.135415650406262245e+00
5.200000000000000000e+01 4.189999999999999858e+01 1.868154169226940553e+00
5.300000000000000000e+01 4.270000000000000284e+01 1.900000000000000133e+00
5.400000000000000000e+01 4.320000000000000284e+01 1.989974874213239930e+00
5.500000000000000000e+01 4.370000000000000284e+01 2.282542442102665436e+00
5.600000000000000000e+01 4.420000000000000284e+01 2.135415650406262245e+00
5.700000000000000000e+01 4.470000000000000284e+01 2.238302928559939176e+00
5.800000000000000000e+01 4.529999999999999716e+01 2.491987158875422104e+00
5.900000000000000000e+01 4.589999999999999858e+01 2.426932219902319332e+00
6.000000000000000000e+01 4.639999999999999858e+01 2.764054992217050533e+00
6.100000000000000000e+01 4.710000000000000142e+01 2.624880949681337672e+00
6.200000000000000000e+01 4.779999999999999716e+01 2.481934729198171041e+00
6.300000000000000000e+01 4.850000000000000000e+01 2.061552812808830293e+00
6.400000000000000000e+01 4.910000000000000142e+01 2.343074902771996371e+00
6.500000000000000000e+01 4.970000000000000284e+01 2.325940669922601067e+00
6.600000000000000000e+01 5.039999999999999858e+01 2.537715508089903871e+00
6.700000000000000000e+01 5.100000000000000000e+01 2.449489742783177881e+00
6.800000000000000000e+01 5.160000000000000142e+01 2.289104628451919421e+00
6.900000000000000000e+01 5.239999999999999858e+01 2.332380757938119942e+00
7.000000000000000000e+01 5.270000000000000284e+01 2.722131517763239916e+00
7.100000000000000000e+01 5.300000000000000000e+01 2.607680962081059484e+00
7.200000000000000000e+01 5.339999999999999858e+01 2.497999199359359324e+00
7.300000000000000000e+01 5.389999999999999858e+01 2.426932219902319332e+00
7.400000000000000000e+01 5.450000000000000000e+01 2.539685019840058899e+00
7.500000000000000000e+01 5.479999999999999716e+01 2.227105745132008874e+00
7.600000000000000000e+01 5.539999999999999858e+01 2.154065922853801496e+00
7.700000000000000000e+01 5.610000000000000142e+01 2.118962010041709032e+00
7.800000000000000000e+01 5.679999999999999716e+01 2.271563338320109260e+00
7.900000000000000000e+01 5.710000000000000142e+01 2.426932219902319332e+00
8.000000000000000000e+01 5.779999999999999716e+01 2.521904042583698047e+00
8.100000000000000000e+01 5.839999999999999858e+01 2.973213749463701205e+00
8.200000000000000000e+01 5.910000000000000142e+01 3.176476034853718211e+00
8.300000000000000000e+01 5.939999999999999858e+01 3.440930106817050582e+00
8.400000000000000000e+01 5.989999999999999858e+01 3.300000000000000266e+00
8.500000000000000000e+01 6.060000000000000142e+01 3.411744421846396147e+00
8.600000000000000000e+01 6.139999999999999858e+01 3.322649545167229768e+00
8.700000000000000000e+01 6.179999999999999716e+01 3.155946767611899961e+00
8.800000000000000000e+01 6.250000000000000000e+01 3.074085229787879570e+00
8.900000000000000000e+01 6.310000000000000142e+01 2.844292530665578411e+00
9.000000000000000000e+01 6.360000000000000142e+01 2.973213749463701205e+00
9.100000000000000000e+01 6.409999999999999432e+01 2.773084924772409643e+00
9.200000000000000000e+01 6.459999999999999432e+01 2.939387691339813813e+00
9.300000000000000000e+01 6.479999999999999716e+01 3.280243893371345365e+00
9.400000000000000000e+01 6.529999999999999716e+01 3.742993454442580248e+00
9.500000000000000000e+01 6.590000000000000568e+01 3.590264614203248161e+00
9.600000000000000000e+01 6.629999999999999716e+01 3.226453160980335522e+00
9.700000000000000000e+01 6.640000000000000568e+01 3.006659275674581799e+00
9.800000000000000000e+01 6.679999999999999716e+01 2.638181191654583646e+00
9.900000000000000000e+01 6.720000000000000284e+01 2.638181191654583646e+00
1.000000000000000000e+02 6.759999999999999432e+01 2.973213749463701205e+00
1.010000000000000000e+02 6.790000000000000568e+01 2.547547840571399380e+00
1.020000000000000000e+02 6.870000000000000284e+01 2.531797780234432249e+00
1.030000000000000000e+02 6.879999999999999716e+01 2.600000000000000089e+00
1.040000000000000000e+02 6.950000000000000000e+01 2.334523505985750536e+00
