#time av_kernels_num std_dev
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 8.900000000000000355e+00 2.999999999999999889e-01
1.000000000000000000e+01 9.800000000000000711e+00 4.000000000000000222e-01
1.100000000000000000e+01 1.080000000000000071e+01 4.000000000000000222e-01
1.200000000000000000e+01 1.180000000000000071e+01 4.000000000000000222e-01
1.300000000000000000e+01 1.259999999999999964e+01 4.898979485566355985e-01
1.400000000000000000e+01 1.350000000000000000e+01 5.000000000000000000e-01
1.500000000000000000e+01 1.440000000000000036e+01 4.898979485566355985e-01
1.600000000000000000e+01 1.540000000000000036e+01 4.898979485566355985e-01
1.700000000000000000e+01 1.630000000000000071e+01 6.403124237432848975e-01
1.800000000000000000e+01 1.730000000000000071e+01 6.403124237432848975e-01
1.900000000000000000e+01 1.830000000000000071e+01 6.403124237432848975e-01
2.000000000000000000e+01 1.930000000000000071e+01 6.403124237432848975e-01
2.100000000000000000e+01 2.019999999999999929e+01 7.483314773547883325e-01
2.200000000000000000e+01 2.110000000000000142e+01 8.306623862918074419e-01
2.300000000000000000e+01 2.189999999999999858e+01 1.044030650891054846e+00
2.400000000000000000e+01 2.260000000000000142e+01 9.165151389911678770e-01
2.500000000000000000e+01 2.360000000000000142e+01 9.165151389911678770e-01
2.600000000000000000e+01 2.460000000000000142e+01 9.165151389911678770e-01
2.700000000000000000e+01 2.539999999999999858e+01 7.999999999999999334e-01
2.800000000000000000e+01 2.639999999999999858e+01 7.999999999999999334e-01
2.900000000000000000e+01 2.730000000000000071e+01 7.810249675906655309e-01
3.000000000000000000e+01 2.819999999999999929e+01 8.717797887081347730e-01
3.100000000000000000e+01 2.919999999999999929e+01 8.717797887081347730e-01
3.200000000000000000e+01 3.019999999999999929e+01 8.717797887081347730e-01
3.300000000000000000e+01 3.119999999999999929e+01 8.717797887081347730e-01
3.400000000000000000e+01 3.220000000000000284e+01 8.717797887081346619e-01
3.500000000000000000e+01 3.320000000000000284e+01 8.717797887081346619e-01
3.600000000000000000e+01 3.389999999999999858e+01 9.433981132056603602e-01
3.700000000000000000e+01 3.489999999999999858e+01 9.433981132056603602e-01
3.800000000000000000e+01 3.589999999999999858e+01 9.433981132056603602e-01
3.900000000000000000e+01 3.670000000000000284e+01 1.004987562112088950e+00
4.000000000000000000e+01 3.760000000000000142e+01 1.113552872566004215e+00
4.100000000000000000e+01 3.839999999999999858e+01 7.999999999999999334e-01
4.200000000000000000e+01 3.910000000000000142e+01 9.433981132056603602e-01
4.300000000000000000e+01 3.989999999999999858e+01 1.135781669160054630e+00
4.400000000000000000e+01 4.079999999999999716e+01 1.166190378969059971e+00
4.500000000000000000e+01 4.150000000000000000e+01 1.204159457879229622e+00
4.600000000000000000e+01 4.239999999999999858e+01 1.113552872566004215e+00
4.700000000000000000e+01 4.339999999999999858e+01 1.113552872566004215e+00
4.800000000000000000e+01 4.420000000000000284e+01 9.797958971132710859e-01
4.900000000000000000e+01 4.510000000000000142e+01 9.433981132056603602e-01
5.000000000000000000e+01 4.600000000000000000e+01 1.000000000000000000e+00
5.100000000000000000e+01 4.650000000000000000e+01 1.360147050873544261e+00
5.200000000000000000e+01 4.729999999999999716e+01 1.676305461424020926e+00
5.300000000000000000e+01 4.789999999999999858e+01 1.577973383805949981e+00
5.400000000000000000e+01 4.860000000000000142e+01 1.743559577416269324e+00
5.500000000000000000e+01 4.950000000000000000e+01 1.688194301613413328e+00
5.600000000000000000e+01 5.039999999999999858e+01 1.685229954635271588e+00
5.700000000000000000e+01 5.120000000000000284e+01 1.599999999999999867e+00
5.800000000000000000e+01 5.200000000000000000e+01 1.483239697419132641e+00
5.900000000000000000e+01 5.279999999999999716e+01 1.536229149573721697e+00
6.000000000000000000e+01 5.350000000000000000e+01 1.500000000000000000e+00
6.100000000000000000e+01 5.429999999999999716e+01 1.417744687875782450e+00
6.200000000000000000e+01 5.529999999999999716e+01 1.417744687875782450e+00
6.300000000000000000e+01 5.610000000000000142e+01 1.300000000000000044e+00
6.400000000000000000e+01 5.700000000000000000e+01 1.264911064067351765e+00
6.500000000000000000e+01 5.770000000000000284e+01 1.268857754044951935e+00
6.600000000000000000e+01 5.860000000000000142e+01 1.356465996625053627e+00
6.700000000000000000e+01 5.929999999999999716e+01 1.552417469626002688e+00
6.800000000000000000e+01 6.020000000000000284e+01 1.536229149573721919e+00
6.900000000000000000e+01 6.070000000000000284e+01 1.676305461424021370e+00
7.000000000000000000e+01 6.129999999999999716e+01 1.900000000000000133e+00
7.100000000000000000e+01 6.200000000000000000e+01 2.049390153191919861e+00
7.200000000000000000e+01 6.289999999999999858e+01 2.071231517720797388e+00
7.300000000000000000e+01 6.370000000000000284e+01 2.002498439450078216e+00
7.400000000000000000e+01 6.459999999999999432e+01 1.959591794226542172e+00
7.500000000000000000e+01 6.529999999999999716e+01 2.051828452868318831e+00
7.600000000000000000e+01 6.600000000000000000e+01 2.280350850198276103e+00
7.700000000000000000e+01 6.700000000000000000e+01 2.280350850198276103e+00
7.800000000000000000e+01 6.779999999999999716e+01 2.315167380558044830e+00
7.900000000000000000e+01 6.859999999999999432e+01 2.059126028197399982e+00
8.000000000000000000e+01 6.940000000000000568e+01 2.154065922853801496e+00
8.100000000000000000e+01 7.009999999999999432e+01 1.920937271229854471e+00
8.200000000000000000e+01 7.070000000000000284e+01 1.899999999999999911e+00
8.300000000000000000e+01 7.150000000000000000e+01 1.746424919657298069e+00
8.400000000000000000e+01 7.220000000000000284e+01 1.886796226411320498e+00
8.500000000000000000e+01 7.259999999999999432e+01 1.624807680927192077e+00
8.600000000000000000e+01 7.350000000000000000e+01 1.627882059609970566e+00
8.700000000000000000e+01 7.420000000000000284e+01 1.400000000000000133e+00
8.800000000000000000e+01 7.490000000000000568e+01 1.374772708486751815e+00
8.900000000000000000e+01 7.559999999999999432e+01 1.496662954709576221e+00
9.000000000000000000e+01 7.629999999999999716e+01 1.417744687875782672e+00
9.100000000000000000e+01 7.709999999999999432e+01 1.299999999999999822e+00
9.200000000000000000e+01 7.750000000000000000e+01 1.360147050873544261e+00
9.300000000000000000e+01 7.829999999999999716e+01 1.552417469626002466e+00
9.400000000000000000e+01 7.909999999999999432e+01 1.445683229480095866e+00
9.500000000000000000e+01 7.959999999999999432e+01 1.562049935181330618e+00
9.600000000000000000e+01 8.020000000000000284e+01 1.400000000000000133e+00
9.700000000000000000e+01 8.090000000000000568e+01 1.513274595042155557e+00
9.800000000000000000e+01 8.170000000000000284e+01 1.268857754044952157e+00
9.900000000000000000e+01 8.229999999999999716e+01 1.268857754044951935e+00
1.000000000000000000e+02 8.279999999999999716e+01 1.469693845669906906e+00
1.010000000000000000e+02 8.320000000000000284e+01 1.536229149573721475e+00
1.020000000000000000e+02 8.409999999999999432e+01 1.699999999999999956e+00
1.030000000000000000e+02 8.490000000000000568e+01 1.577973383805949759e+00
1.040000000000000000e+02 8.559999999999999432e+01 1.562049935181330618e+00
