#time deltaF
20 3.36986931092
40 7.18148728575
60 10.6960472741
80 14.0217625957
100 15.8833742793
120 18.0063675586
140 19.4463463784
160 21.3820361011
180 22.6231061424
200 24.3172177702
220 17.5805862385
240 8.1786041277
260 3.25166909875
280 3.85384196522
300 4.00286309487
320 -1.20773341092
340 -2.60108841302
360 -1.06791598006
380 0.892132437805
400 2.41281148172
420 3.92698658223
440 4.32735749843
460 5.03880729787
480 5.76232657325
500 6.24333826441
520 7.11604065277
540 7.65671479548
560 8.27116978747
580 8.75884949533
600 9.38112560765
620 9.58075434981
640 9.86968491285
660 10.4157981858
680 10.5919518406
700 10.8497566336
720 10.5301504022
740 9.8853451793
760 10.1610416324
780 10.3322753144
800 10.5083567136
820 10.6154887245
840 10.9355221187
860 11.1693287509
880 11.3763497966
900 11.0597309328
920 11.0361158671
940 11.0238708128
960 11.223943084
980 11.3656461309
1000 11.3412452194
1020 11.5649244916
1040 11.6097689317
1060 11.7658737508
1080 11.881382346
1100 11.5517315587
1120 11.4191110413
1140 10.7759960122
1160 10.6570897766
1180 10.4410090501
1200 10.4911426706
1220 10.6065727618
1240 10.0174393191
1260 10.1738259748
1280 10.3624269266
1300 10.4954866344
1320 10.5357849748
1340 10.6172176448
1360 10.638000083
1380 10.6717012757
1400 10.7410136247
1420 10.8283805838
1440 10.7160831616
1460 10.7470991569
1480 10.6740539902
1500 10.6968612569
1520 10.5767552539
1540 10.6256857188
1560 10.510469987
1580 10.6349806613
1600 10.7072452337
1620 10.5944372921
1640 10.6696652442
1660 10.6341054359
1680 10.640729583
1700 10.7053033292
1720 10.6640124695
1740 10.6696347192
1760 10.7096280171
1780 10.7460797963
1800 10.821657732
1820 10.7870513929
1840 10.8166861091
1860 10.8436469875
1880 10.7065183513
1900 10.4596012069
1920 10.413668494
1940 10.3205322779
1960 10.3801294603
1980 10.3960488128
2000 10.2624396538
2020 10.3121101419
2040 10.3744102989
2060 10.396725078
2080 10.4707840894
2100 10.5433992237
2120 10.6003493251
2140 10.534240205
2160 10.535740633
2180 10.5404182391
2200 10.43565411
2220 10.4495119268
2240 10.4686664908
2260 10.4968770506
2280 10.6325371437
2300 10.646720674
2320 10.5938702556
2340 10.6531902782
2360 10.5264066516
2380 10.4688797002
2400 10.3954612175
2420 10.4275923486
2440 10.4654917257
2460 10.5288411673
2480 10.5598035099
2500 10.5884908432
2520 10.5726092428
2540 10.4513747222
2560 10.4287027178
2580 10.4446837332
2600 10.4272417558
2620 10.2558141453
2640 10.2633032909
2660 10.1499938447
2680 10.1923146252
2700 10.2175297083
2720 10.2436649292
2740 10.2713980559
2760 10.2173177997
2780 10.2247146323
2800 10.2619457912
2820 10.1033367867
2840 10.1029579166
2860 10.1339661776
2880 10.1423470954
2900 10.1360612933
2920 10.096468065
2940 10.0896133915
2960 10.0372727922
2980 9.88631845578
3000 9.77781861893
3020 9.69218764623
3040 9.73240559114
3060 9.71117664145
3080 9.7283923386
3100 9.71054045771
3120 9.73473341148
3140 9.65973531989
3160 9.68823477581
3180 9.70964516661
3200 9.6682500479
3220 9.71674177009
3240 9.59384891973
3260 9.59016509149
3280 9.60580026832
3300 9.62253369162
3320 9.5967020882
3340 9.58870643188
3360 9.53766458829
3380 9.60602059759
3400 9.62996446036
3420 9.63334693794
3440 9.66429788868
3460 9.61724220024
3480 9.57772853758
3500 9.59218149705
3520 9.60451305457
3540 9.5884477666
3560 9.57424675229
3580 9.5241474007
3600 9.53976929417
3620 9.55379918685
3640 9.56210347418
3660 9.61802811842
3680 9.62551867695
3700 9.5245391262
3720 9.53319634197
3740 9.57215768756
3760 9.57131812106
3780 9.57601047103
3800 9.57759325202
3820 9.61158884236
3840 9.62563358785
3860 9.63559198686
3880 9.6283389536
3900 9.63406185481
3920 9.66789214135
3940 9.67919129559
3960 9.70437165066
3980 9.72039900548
4000 9.7647347121
4020 9.77043303737
4040 9.76373398121
4060 9.74850638997
4080 9.76278261668
4100 9.74613923991
4120 9.75814609455
4140 9.77412367381
4160 9.79847644097
4180 9.84826949279
4200 9.86305825612
4220 9.80940262665
4240 9.8557772732
4260 9.87878486224
4280 9.85396846017
4300 9.86304248172
4320 9.87506990041
4340 9.89270589187
4360 9.90383451221
4380 9.92593969044
4400 9.9371924711
4420 9.96643090187
4440 9.8978849551
4460 9.85420572314
4480 9.86434406613
4500 9.8737471502
4520 9.85798202418
4540 9.78058734388
4560 9.79108825318
4580 9.68811139259
4600 9.69378192467
4620 9.69151612012
4640 9.70789472015
4660 9.70830343061
4680 9.71551558601
4700 9.72483530318
4720 9.7004138883
4740 9.73001763519
4760 9.74065256847
4780 9.71920747627
4800 9.73858219894
4820 9.73396798252
4840 9.77725109985
4860 9.77885163728
4880 9.77939820194
4900 9.800961763
4920 9.80242660751
4940 9.80945185872
4960 9.82466691811
4980 9.83786162433
5000 9.84963079205
5020 9.81525677942
5040 9.82793931407
5060 9.83770329094
5080 9.82779919238
5100 9.83806176017
5120 9.84762546729
5140 9.87416005849
5160 9.79430712522
5180 9.7767359753
5200 9.7403954359
5220 9.74793980517
5240 9.76529107417
5260 9.78412426489
5280 9.79656345208
5300 9.76720725474
5320 9.77072004576
5340 9.78196746745
5360 9.7532660912
5380 9.76239882912
5400 9.76240542988
5420 9.77836007821
5440 9.8038220869
5460 9.81940531576
5480 9.83610661198
5500 9.82473528193
5520 9.82573506139
5540 9.83081064617
5560 9.77083830463
5580 9.80340469387
5600 9.82508206768
5620 9.84712430808
5640 9.8393930039
5660 9.82811744402
5680 9.84596777043
5700 9.82047211371
5720 9.81553491318
5740 9.81167883908
5760 9.82447138693
5780 9.82815284926
5800 9.81257937669
5820 9.82144390871
5840 9.84427006327
5860 9.77857868577
5880 9.77452554866
5900 9.78830457895
5920 9.80658981708
5940 9.81267367024
5960 9.82472624871
5980 9.83896999511
6000 9.84277713254
6020 9.84174714254
6040 9.84421039168
6060 9.84556380779
6080 9.83788266718
6100 9.85430162464
6120 9.85200921679
6140 9.86023309712
6160 9.87440995548
6180 9.88557081373
6200 9.84808534506
6220 9.84325776262
6240 9.85697434503
6260 9.87294311031
6280 9.87884745763
6300 9.87895907566
6320 9.87640139648
6340 9.8871035861
6360 9.90793941928
6380 9.91387582154
6400 9.90181058564
6420 9.90949129265
6440 9.91522838717
6460 9.92492369685
6480 9.93700380107
6500 9.95090836942
6520 9.95032227852
6540 9.96793226836
6560 9.97313601473
6580 9.98206839739
6600 9.99036106315
6620 9.99289425718
6640 10.0012779742
6660 10.0050309765
6680 10.0144530035
6700 10.0276431266
6720 10.0298030855
6740 9.96996281939
6760 9.97989095315
6780 9.98453502168
6800 10.0026457737
6820 9.98648526283
6840 9.98903879224
6860 10.0010595621
6880 10.0109267461
6900 10.0022214103
6920 9.98343909567
6940 9.98641951685
6960 9.95483062421
6980 9.94157312035
7000 9.93005221608
7020 9.91351043278
