# time  deltaF
1000.000000000   -4.862870487
2000.000000000    3.913156232
3000.000000000    4.308967503
4000.000000000    8.307980526
5000.000000000    5.265926652
6000.000000000    6.573385056
7000.000000000    8.668666336
8000.000000000    7.969973092
9000.000000000    4.639030313
10000.000000000    2.449913891
11000.000000000    2.729770076
12000.000000000    4.358680486
13000.000000000    4.397407329
14000.000000000    2.639346945
15000.000000000    1.361145112
16000.000000000    0.343335770
17000.000000000   -0.758657356
18000.000000000   -0.710646617
19000.000000000    0.635065158
20000.000000000    1.868673223
21000.000000000    2.290285105
22000.000000000    1.375681648
23000.000000000    1.225969500
24000.000000000    1.975239485
25000.000000000    2.790458602
26000.000000000    3.514052732
27000.000000000    4.223852931
28000.000000000    4.235587821
29000.000000000    4.349630801
30000.000000000    4.926245882
31000.000000000    5.485566429
32000.000000000    5.422781433
33000.000000000    4.675933515
34000.000000000    4.776798255
35000.000000000    5.293911771
36000.000000000    5.725592787
37000.000000000    6.159765114
38000.000000000    5.668353217
39000.000000000    5.039786951
40000.000000000    4.459514768
41000.000000000    3.874811473
42000.000000000    3.597001424
43000.000000000    4.027191016
44000.000000000    4.468186823
45000.000000000    4.884829015
46000.000000000    5.177369747
47000.000000000    4.647767984
48000.000000000    4.145869000
49000.000000000    3.734256902
50000.000000000    3.308398719
51000.000000000    2.892233351
52000.000000000    3.250419440
53000.000000000    3.642426272
54000.000000000    3.952705880
55000.000000000    3.968820156
56000.000000000    3.887117138
57000.000000000    4.183895322
58000.000000000    4.500881805
59000.000000000    4.786183360
60000.000000000    5.075800407
61000.000000000    4.741082004
62000.000000000    4.356565876
63000.000000000    4.008001437
64000.000000000    3.664620972
65000.000000000    3.708637837
66000.000000000    3.975328105
67000.000000000    3.757307655
68000.000000000    3.434986154
69000.000000000    3.079983265
70000.000000000    3.042222665
71000.000000000    3.327343674
72000.000000000    3.582933634
73000.000000000    3.842345827
74000.000000000    4.106862907
75000.000000000    4.341705370
76000.000000000    4.123064202
77000.000000000    4.232193188
78000.000000000    4.467240717
79000.000000000    4.670283689
80000.000000000    4.885796940
81000.000000000    4.803314967
82000.000000000    4.506752152
83000.000000000    4.228747957
84000.000000000    3.973469477
85000.000000000    3.711521462
86000.000000000    3.470223826
87000.000000000    3.208655612
88000.000000000    2.978244187
89000.000000000    2.931456657
90000.000000000    3.139334010
91000.000000000    3.374780236
92000.000000000    3.466300595
93000.000000000    3.670923211
94000.000000000    3.718333107
95000.000000000    3.803346617
96000.000000000    3.963095217
97000.000000000    4.159872569
98000.000000000    4.340429410
99000.000000000    4.521633528
100000.000000000    4.709375845
