# time  deltaF #transition_s=0
1000.000000000   13.833963230
2000.000000000   12.407342888
3000.000000000    8.638832333
4000.000000000    6.532389729
5000.000000000    5.047854264
6000.000000000    5.359355611
7000.000000000    5.769402203
8000.000000000    6.065570512
9000.000000000    6.190522727
10000.000000000    5.851689034
11000.000000000    5.627151064
12000.000000000    5.411000979
13000.000000000    5.164469503
14000.000000000    4.895518158
15000.000000000    4.654219354
16000.000000000    4.451830424
17000.000000000    4.230817138
18000.000000000    4.077192645
19000.000000000    4.212957747
20000.000000000    4.000106145
21000.000000000    3.801893928
22000.000000000    3.590118636
23000.000000000    3.422835174
24000.000000000    3.219240855
25000.000000000    3.036703793
26000.000000000    2.877170078
27000.000000000    2.713551106
28000.000000000    2.550040369
29000.000000000    2.612163427
30000.000000000    2.766596628
31000.000000000    2.897226042
32000.000000000    2.920513949
33000.000000000    2.834183464
34000.000000000    2.874157229
35000.000000000    2.979663397
36000.000000000    3.071000335
37000.000000000    3.154346389
38000.000000000    3.104158019
39000.000000000    3.034478673
40000.000000000    2.964059091
41000.000000000    2.877010526
42000.000000000    2.842587805
43000.000000000    2.913143603
44000.000000000    2.974445356
45000.000000000    3.032864659
46000.000000000    3.075568510
47000.000000000    3.025009259
48000.000000000    2.971843230
49000.000000000    2.925861422
50000.000000000    2.880732751
51000.000000000    2.829837665
52000.000000000    2.825835960
53000.000000000    2.880801454
54000.000000000    2.923589046
55000.000000000    2.930952939
56000.000000000    2.928164082
57000.000000000    2.967251604
58000.000000000    3.007154176
59000.000000000    3.046606020
60000.000000000    3.085890290
61000.000000000    3.120292651
62000.000000000    3.151192125
63000.000000000    3.195800234
64000.000000000    3.228293682
65000.000000000    3.266808606
66000.000000000    3.295792361
67000.000000000    3.276647573
68000.000000000    3.244923937
69000.000000000    3.208486595
70000.000000000    3.205956413
71000.000000000    3.236769212
72000.000000000    3.265259906
73000.000000000    3.293501158
74000.000000000    3.325088839
75000.000000000    3.351609363
76000.000000000    3.331142320
77000.000000000    3.344320962
78000.000000000    3.370845454
79000.000000000    3.394852156
80000.000000000    3.419336789
81000.000000000    3.416412716
82000.000000000    3.390562682
83000.000000000    3.364868155
84000.000000000    3.339849436
85000.000000000    3.311742082
86000.000000000    3.286841556
87000.000000000    3.260483560
88000.000000000    3.235126101
89000.000000000    3.230595864
90000.000000000    3.254198726
91000.000000000    3.280786438
92000.000000000    3.289768771
93000.000000000    3.313816266
94000.000000000    3.318867296
95000.000000000    3.327868584
96000.000000000    3.342635169
97000.000000000    3.363047776
98000.000000000    3.382109892
99000.000000000    3.401369991
100000.000000000    3.420081237
