#x  FES  der_FES_x
-3.0 71.7293275622 -130.40685401
-2.99399399399 70.9461032138 -129.908026633
-2.98798798799 70.1688707859 -128.912589087
-2.98198198198 69.3976036452 -127.921581561
-2.97597597598 68.6322752116 -126.934995251
-2.96996996997 67.8728589575 -125.95282136
-2.96396396396 67.1193284084 -124.975051086
-2.95795795796 66.3716571426 -124.001675634
-2.95195195195 65.6298187912 -123.032686205
-2.94594594595 64.8937870381 -122.068074004
-2.93993993994 64.16353562 -121.107830236
-2.93393393393 63.4390383265 -120.151946108
-2.92792792793 62.7202690001 -119.200412827
-2.92192192192 62.0072015358 -118.253221602
-2.91591591592 61.2998098817 -117.310363644
-2.90990990991 60.5980680386 -116.371830163
-2.9039039039 59.90195006 -115.437612372
-2.8978978979 59.2114300522 -114.507701484
-2.89189189189 58.5264821743 -113.582088714
-2.88588588589 57.8470806382 -112.660765279
-2.87987987988 57.1731997085 -111.743722396
-2.87387387387 56.5048137025 -110.830951283
-2.86786786787 55.8418969903 -109.922443161
-2.86186186186 55.1844239948 -109.018189251
-2.85585585586 54.5323691915 -108.118180777
-2.84984984985 53.8857071086 -107.222408961
-2.84384384384 53.2444123271 -106.330865031
-2.83783783784 52.6084594806 -105.443540213
-2.83183183183 51.9778232555 -104.560425735
-2.82582582583 51.3524783907 -103.681512829
-2.81981981982 50.732399678 -102.806792724
-2.81381381381 50.1175619616 -101.936256655
-2.80780780781 49.5079401386 -101.069895856
-2.8018018018 48.9035091585 -100.207701563
-2.7957957958 48.3042440237 -99.3496650138
-2.78978978979 47.710119789 -98.4957774485
-2.78378378378 47.1211115619 -97.6460301079
-2.77777777778 46.5371945024 -96.8004142347
-2.77177177177 45.9583438233 -95.9589210737
-2.76576576577 45.3845347898 -95.1215418709
-2.75975975976 44.8157427198 -94.2882678744
-2.75375375375 44.2519429835 -93.4590903342
-2.74774774775 43.693111004 -92.6340005017
-2.74174174174 43.1392222568 -91.8129896306
-2.73573573574 42.5902522697 -90.9960489762
-2.72972972973 42.0461766234 -90.1831697959
-2.72372372372 41.5069709509 -89.3743433488
-2.71771771772 40.9726109376 -88.5695608963
-2.71171171171 40.4430723215 -87.7688137015
-2.70570570571 39.9183308931 -86.9720930297
-2.6996996997 39.3983624953 -86.1793901484
-2.69369369369 38.8831430234 -85.3906963269
-2.68768768769 38.3726484253 -84.6060028369
-2.68168168168 37.8668547011 -83.8253009522
-2.67567567568 37.3657379034 -83.0485819487
-2.66966966967 36.8692741371 -82.2758371049
-2.66366366366 36.3774395598 -81.5070577011
-2.65765765766 35.890210381 -80.7422350204
-2.65165165165 35.4075628628 -79.9813603479
-2.64564564565 34.9294733197 -79.2244249714
-2.63963963964 34.4559181184 -78.4714201809
-2.63363363363 33.9868736779 -77.7223372691
-2.62762762763 33.5223164695 -76.9771675311
-2.62162162162 33.0622230169 -76.2359022646
-2.61561561562 32.6065698958 -75.49853277
-2.60960960961 32.1553337344 -74.7650503502
-2.6036036036 31.7084912129 -74.035446311
-2.5975975976 31.266019064 -73.3097119609
-2.59159159159 30.8278940722 -72.5878386111
-2.58558558559 30.3940930746 -71.8698175757
-2.57957957958 29.9645929602 -71.1556401719
-2.57357357357 29.5393706702 -70.4452977195
-2.56756756757 29.1184031978 -69.7387815415
-2.56156156156 28.7016675886 -69.0360829641
-2.55555555556 28.28914094 -68.3371933163
-2.54954954955 27.8808004016 -67.6421039304
-2.54354354354 27.4766231751 -66.9508061421
-2.53753753754 27.076586514 -66.2632912901
-2.53153153153 26.6806677241 -65.5795507166
-2.52552552553 26.2888441631 -64.8995757671
-2.51951951952 25.9010932404 -64.2233577905
-2.51351351351 25.5173924178 -63.5508881395
-2.50750750751 25.1377192087 -62.8821581701
-2.5015015015 24.7620511785 -62.217159242
-2.4954954955 24.3903659446 -61.5558827187
-2.48948948949 24.0226411759 -60.8983199673
-2.48348348348 23.6588545936 -60.2444623589
-2.47747747748 23.2989839704 -59.5943012685
-2.47147147147 22.9430071309 -58.947828075
-2.46546546547 22.5909019515 -58.3050341614
-2.45945945946 22.2426463602 -57.6659109148
-2.45345345345 21.8982183369 -57.0304497266
-2.44744744745 21.557595913 -56.3986419923
-2.44144144144 21.2207571718 -55.7704791119
-2.43543543544 20.887680248 -55.1459524897
-2.42942942943 20.5583433281 -54.5250535349
-2.42342342342 20.23272465 -53.9077736607
-2.41741741742 19.9108025034 -53.2941042855
-2.41141141141 19.5925552292 -52.6840368321
-2.40540540541 19.2779612201 -52.0775627286
-2.3993993994 18.9669989201 -51.4746734076
-2.39339339339 18.6596468248 -50.875360307
-2.38738738739 18.355883481 -50.2796148699
-2.38138138138 18.055687487 -49.6874285443
-2.37537537538 17.7590374925 -49.098792784
-2.36936936937 17.4659121983 -48.5136990479
-2.36336336336 17.1762903568 -47.9321388005
-2.35735735736 16.8901507713 -47.354103512
-2.35135135135 16.6074722966 -46.7795846584
-2.34534534535 16.3282338385 -46.2085737215
-2.33933933934 16.052414354 -45.6410621891
-2.33333333333 15.7799928512 -45.077041555
-2.32732732733 15.5109483893 -44.5165033194
-2.32132132132 15.2452600786 -43.9594389886
-2.31531531532 14.9829070802 -43.4058400755
-2.30930930931 14.7238686062 -42.8556980995
-2.3033033033 14.4681239198 -42.3090045867
-2.2972972973 14.2156523349 -41.7657510702
-2.29129129129 13.9664332163 -41.2259290899
-2.28528528529 13.7204459795 -40.6895301927
-2.27927927928 13.4776700908 -40.1565459329
-2.27327327327 13.2380850674 -39.6269678723
-2.26726726727 13.0016704767 -39.1007875799
-2.26126126126 12.7684059373 -38.5779966327
-2.25525525526 12.5382711178 -38.0585866153
-2.24924924925 12.3112457377 -37.5425491204
-2.24324324324 12.0873095668 -37.0298757489
-2.23723723724 11.8664424254 -36.5205581097
