#two_basins three_basins four_basins round_trip
40.000000 1457.500000 5335.000000 7870.000000
47.500000 430.000000 2420.000000 4632.500000
80.000000 1192.500000 4402.500000 5522.500000
117.500000 1052.500000 3830.000000 4755.000000
92.500000 670.000000 8462.500000 8977.500000
32.500000 1667.500000 3772.500000 3990.000000
27.500000 700.000000 5027.500000 7372.500000
20.000000 2157.500000 4305.000000 5460.000000
67.500000 455.000000 1240.000000 1870.000000
30.000000 475.000000 2152.500000 3547.500000
60.000000 942.500000 3450.000000 4522.500000
52.500000 1040.000000 9105.000000 13837.500000
65.000000 742.500000 6410.000000 9765.000000
60.000000 1070.000000 3722.500000 4577.500000
37.500000 955.000000 2087.500000 3092.500000
52.500000 480.000000 4862.500000 4922.500000
75.000000 1580.000000 2500.000000 3130.000000
52.500000 1042.500000 14630.000000 18197.500000
97.500000 1767.500000 3555.000000 5280.000000
117.500000 1077.500000 4897.500000 6637.500000
105.000000 1402.500000 2145.000000 3662.500000
47.500000 1255.000000 4532.500000 5100.000000
87.500000 940.000000 1592.500000 2817.500000
47.500000 642.500000 2540.000000 2802.500000
62.500000 1765.000000 3810.000000 5620.000000
72.500000 950.000000 3357.500000 5007.500000
45.000000 1610.000000 3725.000000 4050.000000
60.000000 585.000000 9575.000000 13230.000000
30.000000 867.500000 4692.500000 5455.000000
52.500000 1040.000000 5182.500000 7437.500000
70.000000 357.500000 1757.500000 1917.500000
42.500000 492.500000 3250.000000 3435.000000
35.000000 207.500000 985.000000 1487.500000
40.000000 230.000000 3865.000000 4762.500000
50.000000 200.000000 2377.500000 2600.000000
60.000000 1817.500000 20960.000000 21537.500000
32.500000 172.500000 7530.000000 10320.000000
92.500000 1217.500000 4555.000000 6345.000000
50.000000 282.500000 11237.500000 18227.500000
87.500000 190.000000 955.000000 1267.500000
27.500000 187.500000 555.000000 957.500000
100.000000 535.000000 1667.500000 2502.500000
22.500000 342.500000 3340.000000 6440.000000
47.500000 692.500000 1960.000000 3402.500000
55.000000 797.500000 5612.500000 5865.000000
45.000000 1185.000000 20852.500000 24565.000000
75.000000 595.000000 2037.500000 3082.500000
70.000000 527.500000 4340.000000 7082.500000
37.500000 992.500000 5235.000000 6047.500000
62.500000 257.500000 1202.500000 1815.000000
32.500000 1037.500000 2620.000000 3807.500000
95.000000 480.000000 1415.000000 1462.500000
97.500000 510.000000 2102.500000 3557.500000
37.500000 467.500000 3180.000000 4497.500000
30.000000 357.500000 1052.500000 2220.000000
85.000000 452.500000 2185.000000 2895.000000
47.500000 1080.000000 9820.000000 13915.000000
42.500000 192.500000 795.000000 1015.000000
45.000000 1145.000000 2377.500000 3032.500000
97.500000 865.000000 4390.000000 6690.000000
27.500000 182.500000 2055.000000 3372.500000
17.500000 470.000000 2592.500000 4382.500000
32.500000 467.500000 1357.500000 1500.000000
62.500000 202.500000 4115.000000 5907.500000
37.500000 132.500000 877.500000 1870.000000
65.000000 135.000000 985.000000 1527.500000
65.000000 830.000000 5867.500000 7412.500000
32.500000 160.000000 810.000000 1412.500000
37.500000 302.500000 757.500000 1472.500000
55.000000 2792.500000 9030.000000 9282.500000
45.000000 1500.000000 5192.500000 6810.000000
62.500000 915.000000 7282.500000 8945.000000
32.500000 737.500000 2212.500000 3497.500000
50.000000 777.500000 4702.500000 6617.500000
42.500000 1227.500000 3617.500000 4140.000000
47.500000 625.000000 6197.500000 8927.500000
52.500000 640.000000 1685.000000 2972.500000
25.000000 37.500000 2105.000000 2702.500000
80.000000 1677.500000 5107.500000 6270.000000
45.000000 825.000000 12882.500000 19022.500000
42.500000 417.500000 1260.000000 1732.500000
20.000000 302.500000 15000.000000 15907.500000
50.000000 480.000000 5020.000000 7737.500000
10.000000 172.500000 982.500000 1830.000000
35.000000 1175.000000 3255.000000 4385.000000
35.000000 595.000000 1447.500000 1737.500000
47.500000 1420.000000 3082.500000 3707.500000
27.500000 747.500000 2575.000000 3582.500000
45.000000 1187.500000 5222.500000 5895.000000
25.000000 347.500000 4257.500000 6742.500000
35.000000 102.500000 1250.000000 2150.000000
7.500000 272.500000 2450.000000 4337.500000
57.500000 745.000000 2295.000000 2390.000000
22.500000 837.500000 8560.000000 10175.000000
27.500000 255.000000 760.000000 1310.000000
50.000000 1600.000000 16745.000000 17522.500000
20.000000 385.000000 2347.500000 3790.000000
15.000000 455.000000 11000.000000 13412.500000
45.000000 330.000000 8055.000000 9912.500000
42.500000 930.000000 7140.000000 10692.500000
