#two_basins three_basins four_basins round_trip
27.500000 67.500000 90.000000 152.500000
15.000000 37.500000 232.500000 347.500000
10.000000 145.000000 4402.500000 5000.000000
32.500000 100.000000 4160.000000 4650.000000
7.500000 72.500000 1372.500000 1755.000000
7.500000 105.000000 3772.500000 3990.000000
7.500000 257.500000 1645.000000 1712.500000
10.000000 102.500000 1150.000000 1212.500000
12.500000 30.000000 57.500000 132.500000
7.500000 47.500000 90.000000 145.000000
10.000000 60.000000 107.500000 210.000000
15.000000 182.500000 7697.500000 8180.000000
7.500000 115.000000 180.000000 232.500000
7.500000 85.000000 4427.500000 4577.500000
20.000000 85.000000 142.500000 242.500000
7.500000 317.500000 490.000000 585.000000
10.000000 37.500000 72.500000 90.000000
45.000000 130.000000 4885.000000 5667.500000
17.500000 67.500000 1057.500000 1212.500000
7.500000 112.500000 205.000000 252.500000
10.000000 47.500000 92.500000 145.000000
7.500000 35.000000 65.000000 110.000000
12.500000 405.000000 2630.000000 2970.000000
12.500000 130.000000 235.000000 272.500000
27.500000 80.000000 8685.000000 8985.000000
15.000000 37.500000 1652.500000 2000.000000
15.000000 140.000000 2155.000000 2512.500000
12.500000 242.500000 405.000000 550.000000
12.500000 45.000000 72.500000 107.500000
15.000000 182.500000 282.500000 405.000000
17.500000 97.500000 137.500000 190.000000
7.500000 140.000000 425.000000 680.000000
15.000000 70.000000 207.500000 310.000000
15.000000 55.000000 1282.500000 1535.000000
32.500000 97.500000 192.500000 242.500000
12.500000 30.000000 55.000000 82.500000
7.500000 197.500000 342.500000 437.500000
7.500000 80.000000 147.500000 235.000000
10.000000 127.500000 205.000000 247.500000
10.000000 190.000000 307.500000 402.500000
17.500000 225.000000 5877.500000 6112.500000
7.500000 187.500000 312.500000 442.500000
10.000000 90.000000 3342.500000 3522.500000
27.500000 167.500000 280.000000 387.500000
15.000000 85.000000 125.000000 185.000000
15.000000 27.500000 217.500000 280.000000
7.500000 165.000000 280.000000 365.000000
7.500000 65.000000 95.000000 127.500000
17.500000 430.000000 4840.000000 5710.000000
12.500000 160.000000 950.000000 1032.500000
7.500000 67.500000 1215.000000 1505.000000
17.500000 67.500000 5632.500000 5925.000000
10.000000 130.000000 185.000000 287.500000
10.000000 195.000000 310.000000 362.500000
5.000000 185.000000 340.000000 380.000000
10.000000 50.000000 452.500000 662.500000
20.000000 210.000000 1307.500000 1432.500000
7.500000 50.000000 795.000000 977.500000
10.000000 62.500000 4517.500000 4620.000000
25.000000 145.000000 277.500000 320.000000
20.000000 77.500000 127.500000 197.500000
12.500000 75.000000 112.500000 222.500000
7.500000 37.500000 57.500000 82.500000
20.000000 145.000000 5595.000000 5907.500000
12.500000 100.000000 770.000000 1115.000000
10.000000 105.000000 182.500000 225.000000
17.500000 142.500000 225.000000 267.500000
12.500000 160.000000 1615.000000 2185.000000
7.500000 157.500000 722.500000 1037.500000
10.000000 85.000000 302.500000 467.500000
7.500000 25.000000 45.000000 82.500000
7.500000 205.000000 2635.000000 3085.000000
7.500000 22.500000 85.000000 135.000000
25.000000 282.500000 4707.500000 5747.500000
12.500000 167.500000 4915.000000 5632.500000
37.500000 90.000000 182.500000 227.500000
5.000000 82.500000 122.500000 172.500000
25.000000 37.500000 197.500000 275.000000
10.000000 267.500000 430.000000 542.500000
25.000000 122.500000 2722.500000 2965.000000
15.000000 22.500000 52.500000 85.000000
10.000000 22.500000 192.500000 290.000000
17.500000 95.000000 2260.000000 2767.500000
7.500000 170.000000 370.000000 420.000000
12.500000 127.500000 3255.000000 3542.500000
17.500000 72.500000 150.000000 172.500000
7.500000 27.500000 35.000000 55.000000
25.000000 237.500000 1077.500000 1407.500000
12.500000 157.500000 4795.000000 4977.500000
20.000000 145.000000 232.500000 285.000000
15.000000 67.500000 375.000000 422.500000
5.000000 87.500000 2450.000000 2802.500000
17.500000 47.500000 95.000000 170.000000
17.500000 70.000000 122.500000 187.500000
10.000000 170.000000 16857.500000 18090.000000
12.500000 42.500000 15315.000000 16772.500000
17.500000 77.500000 2980.000000 3372.500000
12.500000 140.000000 282.500000 422.500000
10.000000 217.500000 8055.000000 8515.000000
15.000000 140.000000 207.500000 272.500000
