# x' fes
-3.000000000000000000e+00 1.134037361211979942e+02
-2.939393939393939448e+00 1.026475342592283653e+02
-2.878787878787878896e+00 9.262249375790722183e+01
-2.818181818181818343e+00 8.329752070971224498e+01
-2.757575757575757791e+00 7.464216860551621835e+01
-2.696969696969696795e+00 6.662663832721628410e+01
-2.636363636363636243e+00 5.922177813996846396e+01
-2.575757575757575690e+00 5.239908368399721894e+01
-2.515151515151515138e+00 4.613069796595090111e+01
-2.454545454545454586e+00 4.038941134976750647e+01
-2.393939393939394034e+00 3.514866154701398671e+01
-2.333333333333333037e+00 3.038253360665765257e+01
-2.272727272727272485e+00 2.606575990422468792e+01
-2.212121212121211933e+00 2.217372013029465094e+01
-2.151515151515151381e+00 1.868244127827578893e+01
-2.090909090909090828e+00 1.556859763139780739e+01
-2.030303030303030276e+00 1.280951074885119922e+01
-1.969696969696969724e+00 1.038314945099159559e+01
-1.909090909090909172e+00 8.268129803513499354e+00
-1.848484848484848397e+00 6.443715100478060620e+00
-1.787878787878787845e+00 4.889815846049437198e+00
-1.727272727272727293e+00 3.586989734746218517e+00
-1.666666666666666519e+00 2.516441629932806734e+00
-1.606060606060605966e+00 1.660023540131721376e+00
-1.545454545454545414e+00 1.000234592475955253e+00
-1.484848484848484862e+00 5.202210021339368495e-01
-1.424242424242424310e+00 2.037760356224715963e-01
-1.363636363636363535e+00 3.533996417672824464e-02
-1.303030303030302983e+00 0.000000000000000000e+00
-1.242424242424242431e+00 8.349020177303501100e-02
-1.181818181818181657e+00 2.721913233575463664e-01
-1.121212121212121104e+00 5.531305555329844026e-01
-1.060606060606060552e+00 9.139810638705334611e-01
-1.000000000000000000e+00 1.343061135087825875e+00
-9.393939393939394478e-01 1.829332567811368548e+00
-8.787878787878788955e-01 2.362397600598528769e+00
-8.181818181818183433e-01 2.932493002924760006e+00
-7.575757575757573470e-01 3.530478658619749410e+00
-6.969696969696967948e-01 4.147815458522201126e+00
-6.363636363636362425e-01 4.776522472369153505e+00
-5.757575757575756903e-01 5.409094115602085751e+00
-5.151515151515151381e-01 6.038340717846228500e+00
-4.545454545454545858e-01 6.657084888442039272e+00
-3.939393939393940336e-01 7.257595600175260842e+00
-3.333333333333330373e-01 7.830578550771958746e+00
-2.727272727272724850e-01 8.363531461621439789e+00
-2.121212121212119328e-01 8.838565876793396114e+00
-1.515151515151513806e-01 9.230938528419581957e+00
-9.090909090909082835e-02 9.511657556279024206e+00
-3.030303030303027612e-02 9.657515180202381089e+00
3.030303030303027612e-02 9.663978164383959069e+00
9.090909090909082835e-02 9.547874149888054163e+00
1.515151515151513806e-01 9.336612943736904313e+00
2.121212121212123769e-01 9.055997807253929111e+00
2.727272727272729291e-01 8.725196165201531073e+00
3.333333333333334814e-01 8.357270913946658553e+00
3.939393939393940336e-01 7.961347905868777275e+00
4.545454545454545858e-01 7.544492740947395859e+00
5.151515151515151381e-01 7.112925390465445474e+00
5.757575757575756903e-01 6.672717837532184504e+00
6.363636363636366866e-01 6.230172877924911035e+00
6.969696969696972388e-01 5.792024197479987535e+00
7.575757575757577911e-01 5.365540620423495000e+00
8.181818181818183433e-01 4.958580076991607299e+00
8.787878787878788955e-01 4.579617469338396418e+00
9.393939393939394478e-01 4.237759056717854023e+00
1.000000000000000000e+00 3.942749893510105963e+00
1.060606060606060552e+00 3.704977688976629935e+00
1.121212121212121104e+00 3.535474822888003743e+00
1.181818181818181657e+00 3.445919409291709812e+00
1.242424242424242209e+00 3.448635867678373046e+00
1.303030303030302761e+00 3.556595238154841354e+00
1.363636363636363313e+00 3.783415362711053831e+00
1.424242424242424754e+00 4.143360995718555984e+00
1.484848484848485306e+00 4.651343876420488854e+00
1.545454545454545858e+00 5.322922780493511752e+00
1.606060606060606410e+00 6.174303559652297935e+00
1.666666666666666963e+00 7.222339174060271816e+00
1.727272727272727515e+00 8.484529720118999307e+00
1.787878787878788067e+00 9.979022455060754027e+00
1.848484848484848619e+00 1.172461181916198747e+01
1.909090909090909172e+00 1.374073945607098679e+01
1.969696969696969724e+00 1.604749423156594190e+01
2.030303030303030276e+00 1.866561225096066323e+01
2.090909090909090828e+00 2.161647687531756645e+01
2.151515151515151381e+00 2.492211873659226740e+01
2.212121212121211933e+00 2.860521575181162390e+01
2.272727272727272485e+00 3.268909313637106351e+01
2.333333333333333925e+00 3.719772341652578973e+01
2.393939393939394478e+00 4.215572644114092782e+01
2.454545454545455030e+00 4.758836939275984435e+01
2.515151515151515582e+00 5.352156679804162565e+01
2.575757575757576134e+00 5.998188053761570870e+01
2.636363636363636687e+00 6.699651985539581744e+01
2.696969696969697239e+00 7.459334136739212795e+01
2.757575757575757791e+00 8.280084907005669947e+01
2.818181818181818343e+00 9.164819434819443700e+01
2.878787878787878896e+00 1.011651759824688099e+02
2.939393939393939448e+00 1.113822401565296047e+02
3.000000000000000000e+00 1.223304804637867562e+02
