# x' fes
-3.000000000000000000e+00 2.445027001139034084e+01
-2.939393939393939448e+00 2.101912799779292129e+01
-2.878787878787878896e+00 1.790954062640740574e+01
-2.818181818181818343e+00 1.510593527015150528e+01
-2.757575757575757791e+00 1.259306032681356236e+01
-2.696969696969696795e+00 1.035598486841415422e+01
-2.636363636363636243e+00 8.380098234240733746e+00
-2.575757575757575690e+00 6.651109556611352502e+00
-2.515151515151515138e+00 5.155047205937892230e+00
-2.454545454545454586e+00 3.878258138530863874e+00
-2.393939393939394034e+00 2.807407126632453398e+00
-2.333333333333333037e+00 1.929475845141025658e+00
-2.272727272727272485e+00 1.231761783081562811e+00
-2.212121212121211933e+00 7.018769396670450078e-01
-2.151515151515151381e+00 3.277462542404876444e-01
-2.090909090909090828e+00 9.760570577336835640e-02
-2.030303030303030276e+00 0.000000000000000000e+00
-1.969696969696969724e+00 2.377973950594025609e-02
-1.909090909090909172e+00 1.580979426831561341e-01
-1.848484848484848397e+00 3.924057396393472175e-01
-1.787878787878787845e+00 7.164470249309893291e-01
-1.727272727272727293e+00 1.120251786532463711e+00
-1.666666666666666519e+00 1.594127756849683664e+00
-1.606060606060605966e+00 2.128649946658962122e+00
-1.545454545454545414e+00 2.714647534884289115e+00
-1.484848484848484862e+00 3.343187518240911871e+00
-1.424242424242424310e+00 4.005554524897467772e+00
-1.363636363636363535e+00 4.693226368228391010e+00
-1.303030303030302983e+00 5.397845457684251613e+00
-1.242424242424242431e+00 6.111187445857368061e+00
-1.181818181818181657e+00 6.825131044829653604e+00
-1.121212121212121104e+00 7.531637579907251023e+00
-1.060606060606060552e+00 8.222756316900136753e+00
-1.000000000000000000e+00 8.890681719709149888e+00
-9.393939393939394478e-01 9.527898431557680681e+00
-8.787878787878788955e-01 1.012744980432280961e+01
-8.181818181818183433e-01 1.068333956548214658e+01
-7.575757575757573470e-01 1.119100560989413751e+01
-6.969696969696967948e-01 1.164768927892794359e+01
-6.363636363636362425e-01 1.205240087209524802e+01
-5.757575757575756903e-01 1.240512351685386072e+01
-5.151515151515151381e-01 1.270497627937648488e+01
-4.545454545454545858e-01 1.294739495441938004e+01
-3.939393939393940336e-01 1.312135112999633968e+01
-3.333333333333330373e-01 1.320961579350892023e+01
-2.727272727272724850e-01 1.319624635227281928e+01
-2.121212121212119328e-01 1.307980415033916444e+01
-1.515151515151513806e-01 1.288002793117393097e+01
-9.090909090909082835e-02 1.262969749151108800e+01
-3.030303030303027612e-02 1.236106526014947704e+01
3.030303030303027612e-02 1.209835527574209735e+01
9.090909090909082835e-02 1.185696465161792368e+01
1.515151515151513806e-01 1.164528538708468020e+01
2.121212121212123769e-01 1.146660180266648155e+01
2.727272727272729291e-01 1.132040614696196457e+01
3.333333333333334814e-01 1.120321776102540312e+01
3.939393939393940336e-01 1.110911469849668620e+01
4.545454545454545858e-01 1.103014203802716509e+01
5.151515151515151381e-01 1.095670782666189780e+01
5.757575757575756903e-01 1.087804550218169553e+01
6.363636363636366866e-01 1.078280285305572939e+01
6.969696969696972388e-01 1.065979438730284912e+01
7.575757575757577911e-01 1.049890707825170288e+01
8.181818181818183433e-01 1.029207010129843702e+01
8.787878787878788955e-01 1.003410967286983180e+01
9.393939393939394478e-01 9.723270511136620442e+00
1.000000000000000000e+00 9.361253872768870110e+00
1.060606060606060552e+00 8.952785543695453541e+00
1.121212121212121104e+00 8.504888220512627939e+00
1.181818181818181657e+00 8.026093029510898091e+00
1.242424242424242209e+00 7.525771937273578516e+00
1.303030303030302761e+00 7.013670204262229646e+00
1.363636363636363313e+00 6.499633044348078315e+00
1.424242424242424754e+00 5.993479261506443834e+00
1.484848484848485306e+00 5.504968478833712098e+00
1.545454545454545858e+00 5.043819407519926301e+00
1.606060606060606410e+00 4.619750999399260039e+00
1.666666666666666963e+00 4.242530196169310486e+00
1.727272727272727515e+00 3.922017980542610971e+00
1.787878787878788067e+00 3.668210177327775767e+00
1.848484848484848619e+00 3.491271996584908166e+00
1.909090909090909172e+00 3.401566536852078215e+00
1.969696969696969724e+00 3.409677967395646547e+00
2.030303030303030276e+00 3.526430241065153126e+00
2.090909090909090828e+00 3.762902152076684104e+00
2.151515151515151381e+00 4.130439449588701351e+00
2.212121212121211933e+00 4.640664598938425200e+00
2.272727272727272485e+00 5.305484670406853454e+00
2.333333333333333925e+00 6.137097738709504924e+00
2.393939393939394478e+00 7.147998096665039824e+00
2.454545454545455030e+00 8.350980522376966420e+00
2.515151515151515582e+00 9.759143788468900738e+00
2.575757575757576134e+00 1.138589356200714775e+01
2.636363636363636687e+00 1.324494481252092903e+01
2.696969696969697239e+00 1.535032382113627847e+01
2.757575757575757791e+00 1.771636986477242814e+01
2.818181818181818343e+00 2.035773663442023818e+01
2.878787878787878896e+00 2.328939343480304913e+01
2.939393939393939448e+00 2.652662620349141775e+01
3.000000000000000000e+00 3.008503838024866894e+01
