# theta  deltaF  barrier
0.000000000000000000e+00 3.315620392679313522e+00 9.663978164383959069e+00
2.308802308802308453e-02 3.315592936617548947e+00 9.782589576280862786e+00
4.617604617604616907e-02 3.315565809674712927e+00 9.908568891198065387e+00
6.926406926406926401e-02 3.315539181216203168e+00 1.000968314604656939e+01
9.235209235209233813e-02 3.315513142856187478e+00 1.012598984410391978e+01
1.154401154401154400e-01 3.315487733037198570e+00 1.021282505029722287e+01
1.385281385281385280e-01 3.315462954188243661e+00 1.031087529628338650e+01
1.616161616161616299e-01 3.315438784711678188e+00 1.039222112220641669e+01
1.847041847041846763e-01 3.315415187358399240e+00 1.046382156974439681e+01
2.077922077922077781e-01 3.315392115077798074e+00 1.054184963478502013e+01
2.308802308802308800e-01 3.315369515103528286e+00 1.059632027034463242e+01
2.539682539682540097e-01 3.315347331811293596e+00 1.066165433345762636e+01
2.770562770562770560e-01 3.315325508728979020e+00 1.071635349584206409e+01
3.001443001443001579e-01 3.315303989971159382e+00 1.075118016011346000e+01
3.232323232323232598e-01 3.315282721294417811e+00 1.080787448315006927e+01
3.463203463203463062e-01 3.315261650917197933e+00 1.084621475252481559e+01
3.694083694083693525e-01 3.315240730210823106e+00 1.086966970252493070e+01
3.924963924963925099e-01 3.315219914342045104e+00 1.091339107291087807e+01
4.155844155844155563e-01 3.315199162928307519e+00 1.094193734724340139e+01
4.386724386724387137e-01 3.315178440752100553e+00 1.095717595875469641e+01
4.617604617604617601e-01 3.315157718568181533e+00 1.098814405687243223e+01
4.848484848484848064e-01 3.315136974025126637e+00 1.101338511412602372e+01
5.079365079365080193e-01 3.315116192709032017e+00 1.102928202005764113e+01
5.310245310245310657e-01 3.315095369300844030e+00 1.104706545335889167e+01
5.541125541125541121e-01 3.315074508818341759e+00 1.109546617763637144e+01
5.772005772005772695e-01 3.315053627888832732e+00 1.116012443595801429e+01
6.002886002886003158e-01 3.315032755968976286e+00 1.123704759800240538e+01
6.233766233766233622e-01 3.315011936395194869e+00 1.132095619186588564e+01
6.464646464646465196e-01 3.314991227114994832e+00 1.142802580324900319e+01
6.695526695526695660e-01 3.314970700921219038e+00 1.154380209767365528e+01
6.926406926406926123e-01 3.314950444995412138e+00 1.166013112375759064e+01
7.157287157287156587e-01 3.314930559572189406e+00 1.177440394309221183e+01
7.388167388167387051e-01 3.314911155573441182e+00 1.188656964352243151e+01
7.619047619047619735e-01 3.314892351136759174e+00 1.201254046535019171e+01
7.849927849927850199e-01 3.314874267078447456e+00 1.213704769048931098e+01
8.080808080808080662e-01 3.314857021480354327e+00 1.225731944534092044e+01
8.311688311688311126e-01 3.314840723752382257e+00 1.237317663337186247e+01
8.542568542568541590e-01 3.314825468668596731e+00 1.248454344517846337e+01
8.773448773448774274e-01 3.314811330967838199e+00 1.260138439594693693e+01
9.004329004329004738e-01 3.314798361116638059e+00 1.271783525560308981e+01
9.235209235209235201e-01 3.314786582734558174e+00 1.283126152352643601e+01
9.466089466089465665e-01 3.314775991986100401e+00 1.294900057376965563e+01
9.696969696969696129e-01 3.314766558982215727e+00 1.306433110357294503e+01
9.927849927849927703e-01 3.314758230961812657e+00 1.317562973571558338e+01
1.015873015873016039e+00 3.314750936798083636e+00 1.328309789378896966e+01
1.038961038961039085e+00 3.314744592241718024e+00 1.340126258619941524e+01
1.062049062049062131e+00 3.314739105292583421e+00 1.351716143802246251e+01
1.085137085137085178e+00 3.314734381172931954e+00 1.362859888141653819e+01
1.108225108225108224e+00 3.314730326524989668e+00 1.373528645340516263e+01
1.131313131313131271e+00 3.314726852631351584e+00 1.383688260912568069e+01
1.154401154401154539e+00 3.314723877618852121e+00 1.393299070163113385e+01
1.177489177489177585e+00 3.314721327730137723e+00 1.402316553385518283e+01
1.200577200577200632e+00 3.314719137822390582e+00 1.410859097511791838e+01
1.223665223665223678e+00 3.314717251282550237e+00 1.419600796228954032e+01
1.246753246753246724e+00 3.314715619544187142e+00 1.427543926119341755e+01
1.269841269841269771e+00 3.314714201365863477e+00 1.434652253290806811e+01
1.292929292929293039e+00 3.314712961996212126e+00 1.441446790860543814e+01
1.316017316017315864e+00 3.314711872315676988e+00 1.447955273702039136e+01
1.339105339105339132e+00 3.314710908013711155e+00 1.453684079561462283e+01
1.362193362193362400e+00 3.314710048835579848e+00 1.458602159998773296e+01
1.385281385281385225e+00 3.314709277914917429e+00 1.462694084870092404e+01
1.408369408369408493e+00 3.314708581196017967e+00 1.467124336863596845e+01
1.431457431457431317e+00 3.314707946942337280e+00 1.470631929926375747e+01
1.454545454545454586e+00 3.314707365323532162e+00 1.473166569299883299e+01
1.477633477633477410e+00 3.314706828071574574e+00 1.475686584058265893e+01
1.500721500721500679e+00 3.314706328196012297e+00 1.478451492935441181e+01
1.523809523809523947e+00 3.314705859749004890e+00 1.481366888568993545e+01
1.546897546897546771e+00 3.314705417631593765e+00 1.483530884744278566e+01
1.569985569985570040e+00 3.314704997433769229e+00 1.484559334940323261e+01
1.593073593073592864e+00 3.314704595301918744e+00 1.485139169102104972e+01
1.616161616161616132e+00 3.314704207828279348e+00 1.487494778607389634e+01
1.639249639249639401e+00 3.314703831957866775e+00 1.489320936007165486e+01
1.662337662337662225e+00 3.314703464909029229e+00 1.489807994501093447e+01
1.685425685425685272e+00 3.314703104104459452e+00 1.489132566496423493e+01
1.708513708513708318e+00 3.314702747109869563e+00 1.491060539822615993e+01
1.731601731601731808e+00 3.314702391577902585e+00 1.492178378548041096e+01
1.754689754689754855e+00 3.314702035195111307e+00 1.491648066374475512e+01
1.777777777777777457e+00 3.314701675629876387e+00 1.491341175996665314e+01
1.800865800865800948e+00 3.314701310479194696e+00 1.492109558045407169e+01
1.823953823953824216e+00 3.314700937212127663e+00 1.491751609905439224e+01
1.847041847041847040e+00 3.314700553107431613e+00 1.490503064862763161e+01
1.870129870129870087e+00 3.314700155182517260e+00 1.490749251390283092e+01
1.893217893217893133e+00 3.314699740110210513e+00 1.488828712190757031e+01
1.916305916305916401e+00 3.314699304118940315e+00 1.486966959012785594e+01
1.939393939393939226e+00 3.314698842870728246e+00 1.486677586311751575e+01
1.962481962481962272e+00 3.314698351309599111e+00 1.483848780412586343e+01
1.985569985569985541e+00 3.314697823470651006e+00 1.481316873156795921e+01
2.008658008658009031e+00 3.314697252236651348e+00 1.478629426876644892e+01
2.031746031746032077e+00 3.314696629024300290e+00 1.472949206444958925e+01
2.054834054834054680e+00 3.314695943375662424e+00 1.469937833739182587e+01
2.077922077922078170e+00 3.314695182420751784e+00 1.463989133021575562e+01
2.101010101010101216e+00 3.314694330163682423e+00 1.457802607383714033e+01
2.124098124098124263e+00 3.314693366524966045e+00 1.451289712894767625e+01
2.147186147186146865e+00 3.314692266043709701e+00 1.442109378244481555e+01
2.170274170274170356e+00 3.314690996100583043e+00 1.434672874618666150e+01
2.193362193362193402e+00 3.314689514458573960e+00 1.423129271565924547e+01
2.216450216450216448e+00 3.314687765821782595e+00 1.413804717820921297e+01
2.239538239538239495e+00 3.314685676964820971e+00 1.400568435112501753e+01
2.262626262626262541e+00 3.314683149756808778e+00 1.388191053025067667e+01
2.285714285714286031e+00 3.314680051046324571e+00 1.372724555252940348e+01
