#two_basins three_basins four_basins round_trip
40.000000 317.500000 2330.000000 2400.000000
45.000000 165.000000 275.000000 347.500000
67.500000 357.500000 540.000000 615.000000
45.000000 262.500000 500.000000 565.000000
47.500000 327.500000 1365.000000 1437.500000
27.500000 227.500000 815.000000 885.000000
30.000000 125.000000 1082.500000 1132.500000
20.000000 245.000000 385.000000 477.500000
67.500000 240.000000 327.500000 402.500000
30.000000 325.000000 1410.000000 1485.000000
57.500000 177.500000 422.500000 522.500000
52.500000 310.000000 972.500000 1035.000000
40.000000 350.000000 1425.000000 1500.000000
60.000000 230.000000 585.000000 647.500000
37.500000 222.500000 342.500000 442.500000
37.500000 232.500000 1197.500000 1240.000000
70.000000 255.000000 1780.000000 1852.500000
52.500000 352.500000 1100.000000 1182.500000
82.500000 197.500000 1800.000000 1875.000000
35.000000 162.500000 225.000000 292.500000
72.500000 210.000000 390.000000 447.500000
45.000000 327.500000 465.000000 495.000000
52.500000 230.000000 335.000000 385.000000
47.500000 277.500000 927.500000 982.500000
55.000000 307.500000 1422.500000 1517.500000
70.000000 272.500000 897.500000 985.000000
75.000000 182.500000 1180.000000 1247.500000
47.500000 262.500000 415.000000 525.000000
30.000000 247.500000 322.500000 427.500000
50.000000 312.500000 1377.500000 1482.500000
47.500000 247.500000 380.000000 470.000000
40.000000 187.500000 267.500000 372.500000
55.000000 205.000000 1947.500000 1957.500000
62.500000 167.500000 1525.000000 1617.500000
50.000000 182.500000 285.000000 360.000000
60.000000 155.000000 255.000000 310.000000
37.500000 170.000000 872.500000 935.000000
27.500000 230.000000 367.500000 427.500000
50.000000 237.500000 370.000000 420.000000
32.500000 265.000000 1575.000000 1610.000000
27.500000 280.000000 952.500000 1030.000000
47.500000 177.500000 275.000000 342.500000
22.500000 180.000000 770.000000 825.000000
60.000000 177.500000 317.500000 420.000000
50.000000 210.000000 2330.000000 2352.500000
67.500000 260.000000 405.000000 490.000000
30.000000 327.500000 1112.500000 1192.500000
57.500000 125.000000 710.000000 762.500000
45.000000 222.500000 812.500000 900.000000
67.500000 180.000000 267.500000 285.000000
30.000000 342.500000 1217.500000 1302.500000
87.500000 270.000000 412.500000 452.500000
67.500000 215.000000 750.000000 845.000000
37.500000 380.000000 560.000000 637.500000
32.500000 190.000000 280.000000 340.000000
62.500000 260.000000 452.500000 507.500000
47.500000 262.500000 467.500000 615.000000
42.500000 185.000000 4687.500000 4737.500000
47.500000 157.500000 1417.500000 1455.000000
62.500000 147.500000 212.500000 297.500000
72.500000 182.500000 242.500000 322.500000
17.500000 255.000000 377.500000 422.500000
57.500000 230.000000 370.000000 462.500000
37.500000 202.500000 822.500000 892.500000
42.500000 272.500000 1497.500000 1527.500000
40.000000 137.500000 267.500000 405.000000
65.000000 280.000000 1382.500000 1452.500000
32.500000 160.000000 517.500000 590.000000
40.000000 300.000000 482.500000 560.000000
55.000000 387.500000 520.000000 577.500000
50.000000 202.500000 2297.500000 2380.000000
62.500000 275.000000 2175.000000 2217.500000
37.500000 95.000000 165.000000 215.000000
57.500000 95.000000 787.500000 860.000000
42.500000 167.500000 950.000000 1050.000000
47.500000 115.000000 772.500000 860.000000
52.500000 182.500000 1947.500000 2040.000000
25.000000 37.500000 227.500000 332.500000
55.000000 267.500000 417.500000 465.000000
32.500000 225.000000 1042.500000 1120.000000
77.500000 240.000000 350.000000 390.000000
67.500000 192.500000 327.500000 372.500000
40.000000 180.000000 765.000000 832.500000
12.500000 212.500000 327.500000 392.500000
37.500000 315.000000 455.000000 535.000000
35.000000 297.500000 432.500000 470.000000
47.500000 290.000000 465.000000 567.500000
55.000000 355.000000 1302.500000 1400.000000
45.000000 117.500000 200.000000 245.000000
25.000000 145.000000 342.500000 495.000000
40.000000 220.000000 927.500000 967.500000
12.500000 225.000000 897.500000 970.000000
60.000000 180.000000 312.500000 350.000000
60.000000 320.000000 2505.000000 2590.000000
27.500000 182.500000 1055.000000 1115.000000
50.000000 430.000000 1510.000000 1575.000000
72.500000 462.500000 1777.500000 1880.000000
15.000000 282.500000 455.000000 607.500000
80.000000 267.500000 2480.000000 2555.000000
40.000000 262.500000 352.500000 457.500000
