#two_basins three_basins four_basins round_trip
682.500000 832.500000 9757.500000 10607.500000
17.500000 1587.500000 6072.500000 7190.000000
397.500000 1622.500000 4402.500000 5522.500000
50.000000 1232.500000 12922.500000 14307.500000
287.500000 675.000000 23810.000000 24640.000000
162.500000 1720.000000 5645.000000 5785.000000
537.500000 1645.000000 3532.500000 3702.500000
325.000000 2702.500000 17210.000000 17847.500000
30.000000 2232.500000 2325.000000 5685.000000
30.000000 1250.000000 4290.000000 5110.000000
265.000000 947.500000 14657.500000 15930.000000
360.000000 2740.000000 10110.000000 12152.500000
90.000000 745.000000 3440.000000 3745.000000
140.000000 2235.000000 23970.000000 24260.000000
602.500000 2252.500000 5057.500000 6440.000000
480.000000 1655.000000 4870.000000 4920.000000
602.500000 1845.000000 6757.500000 8672.500000
265.000000 3005.000000 8245.000000 8465.000000
582.500000 807.500000 2480.000000 2917.500000
210.000000 1912.500000 17262.500000 19522.500000
297.500000 1752.500000 4027.500000 4552.500000
425.000000 1885.000000 12510.000000 12772.500000
147.500000 2590.000000 8845.000000 9067.500000
47.500000 1872.500000 13922.500000 15187.500000
757.500000 1417.500000 3810.000000 4362.500000
277.500000 680.000000 31015.000000 31460.000000
407.500000 802.500000 8692.500000 8777.500000
82.500000 810.000000 4642.500000 5005.000000
37.500000 605.000000 11652.500000 11957.500000
215.000000 402.500000 3975.000000 4997.500000
22.500000 945.000000 1020.000000 1922.500000
325.000000 835.000000 3465.000000 3915.000000
215.000000 1512.500000 8002.500000 8652.500000
472.500000 2427.500000 3865.000000 3930.000000
902.500000 1152.500000 2950.000000 6360.000000
255.000000 2762.500000 12797.500000 12822.500000
177.500000 905.000000 6315.000000 6350.000000
230.000000 620.000000 29562.500000 30307.500000
105.000000 1655.000000 10782.500000 18232.500000
1027.500000 1397.500000 4270.000000 4842.500000
25.000000 8242.500000 13487.500000 14145.000000
197.500000 542.500000 5847.500000 6380.000000
160.000000 1372.500000 6020.000000 6442.500000
585.000000 692.500000 7087.500000 8405.000000
130.000000 1687.500000 3500.000000 4087.500000
90.000000 2402.500000 6952.500000 8927.500000
462.500000 515.000000 10332.500000 10355.000000
95.000000 6002.500000 32755.000000 33775.000000
305.000000 2202.500000 8860.000000 9187.500000
262.500000 555.000000 4282.500000 4980.000000
287.500000 1217.500000 12950.000000 13190.000000
495.000000 1415.000000 3550.000000 4025.000000
510.000000 2252.500000 2525.000000 4227.500000
272.500000 735.000000 19700.000000 21110.000000
282.500000 1055.000000 7802.500000 7832.500000
980.000000 2645.000000 31587.500000 32425.000000
50.000000 1080.000000 11180.000000 13930.000000
15.000000 3115.000000 9250.000000 9757.500000
397.500000 1145.000000 2677.500000 2975.000000
20.000000 830.000000 4390.000000 9287.500000
182.500000 1637.500000 3070.000000 3372.500000
17.500000 615.000000 4507.500000 6217.500000
262.500000 1362.500000 11800.000000 11965.000000
180.000000 367.500000 10882.500000 11470.000000
160.000000 3987.500000 5880.000000 5905.000000
615.000000 1122.500000 7057.500000 7817.500000
140.000000 2397.500000 7222.500000 7780.000000
355.000000 815.000000 13407.500000 13697.500000
55.000000 727.500000 2750.000000 5252.500000
217.500000 3195.000000 4920.000000 5335.000000
32.500000 400.000000 2337.500000 2597.500000
595.000000 4760.000000 12855.000000 15387.500000
15.000000 725.000000 1055.000000 1850.000000
95.000000 730.000000 4070.000000 4305.000000
135.000000 1152.500000 2730.000000 3007.500000
432.500000 2595.000000 11917.500000 13075.000000
127.500000 1685.000000 9330.000000 9580.000000
37.500000 667.500000 2107.500000 2702.500000
182.500000 2672.500000 5107.500000 6157.500000
290.000000 580.000000 15735.000000 15757.500000
20.000000 280.000000 417.500000 930.000000
22.500000 665.000000 14222.500000 15055.000000
542.500000 1205.000000 11120.000000 12092.500000
70.000000 170.000000 11402.500000 11902.500000
10.000000 990.000000 9837.500000 11627.500000
40.000000 1310.000000 14670.000000 15092.500000
290.000000 1640.000000 1810.000000 3707.500000
147.500000 1755.000000 18967.500000 19355.000000
82.500000 2580.000000 6192.500000 6652.500000
30.000000 145.000000 2677.500000 3220.000000
587.500000 640.000000 867.500000 1125.000000
7.500000 1412.500000 2447.500000 2805.000000
22.500000 1355.000000 4097.500000 4440.000000
300.000000 480.000000 8562.500000 9640.000000
27.500000 795.000000 5402.500000 6217.500000
172.500000 1797.500000 27172.500000 27642.500000
82.500000 1402.500000 27617.500000 28770.000000
17.500000 285.000000 1450.000000 2672.500000
10.000000 1447.500000 13310.000000 14647.500000
295.000000 930.000000 4917.500000 5687.500000
