# time  deltaF #transition_s=1.99
0 0
2000.000000000   24.403911507
4000.000000000   14.391537114
6000.000000000   15.374162339
8000.000000000   22.681507420
10000.000000000   20.355387973
12000.000000000   17.115333987
14000.000000000   13.801847071
16000.000000000   13.965246254
18000.000000000   14.939871250
20000.000000000   17.608769287
22000.000000000   20.028075081
24000.000000000   22.124579534
26000.000000000   22.845257804
28000.000000000   19.696036999
30000.000000000   19.265985075
32000.000000000   18.767126580
34000.000000000   19.309517021
36000.000000000   20.740854489
38000.000000000   20.964406429
40000.000000000   20.783143214
42000.000000000   20.460135031
44000.000000000   20.140802833
46000.000000000   19.363303156
48000.000000000   20.449318199
50000.000000000   21.467514828
52000.000000000   21.681721426
54000.000000000   21.341923053
56000.000000000   21.232364730
58000.000000000   22.045781190
60000.000000000   22.718789393
62000.000000000   23.454146186
64000.000000000   24.155945618
66000.000000000   23.858395600
68000.000000000   24.530835633
70000.000000000   24.675220180
72000.000000000   24.280296919
74000.000000000   23.584690881
76000.000000000   22.366066331
78000.000000000   21.707619489
80000.000000000   21.060902277
82000.000000000   21.616987649
84000.000000000   22.221719274
86000.000000000   22.521984894
88000.000000000   22.724521460
90000.000000000   22.950327890
92000.000000000   22.718706348
94000.000000000   22.096489355
96000.000000000   21.257648178
98000.000000000   20.772606550
100000.000000000   20.936423079
102000.000000000   21.211367255
104000.000000000   21.665988323
106000.000000000   22.087627248
108000.000000000   22.528490862
110000.000000000   22.891872618
112000.000000000   22.480540158
114000.000000000   21.734583933
116000.000000000   20.996038073
118000.000000000   20.836813012
120000.000000000   21.220192347
122000.000000000   21.618596641
124000.000000000   21.374426203
126000.000000000   21.194653860
128000.000000000   21.165878095
130000.000000000   21.527790817
132000.000000000   21.896860923
134000.000000000   22.262363377
136000.000000000   22.606962990
138000.000000000   22.951455746
140000.000000000   22.929196059
142000.000000000   22.760995854
144000.000000000   22.597962219
146000.000000000   22.428525213
148000.000000000   22.137042131
150000.000000000   21.945028923
152000.000000000   21.925282535
154000.000000000   21.788407255
156000.000000000   21.626398252
158000.000000000   21.210458231
160000.000000000   21.084363154
162000.000000000   20.659913849
164000.000000000   19.908969454
166000.000000000   19.598969642
168000.000000000   19.545426628
170000.000000000   19.844883274
172000.000000000   20.150613223
174000.000000000   20.431645595
176000.000000000   20.486537719
178000.000000000   20.360102933
180000.000000000   20.250688406
182000.000000000   19.871040529
184000.000000000   19.458294890
186000.000000000   19.490802846
188000.000000000   19.763752895
190000.000000000   20.032577544
192000.000000000   20.299329450
194000.000000000   20.558377421
196000.000000000   20.811956612
198000.000000000   20.572368456
200000.000000000   20.408544943
202000.000000000   20.378756899
204000.000000000   20.620435627
206000.000000000   20.861871253
208000.000000000   21.045048195
210000.000000000   21.257288601
212000.000000000   21.487175375
214000.000000000   21.672498034
216000.000000000   21.522817520
218000.000000000   21.419576234
220000.000000000   21.331559328
222000.000000000   21.448501613
224000.000000000   21.340594680
226000.000000000   21.356933283
228000.000000000   21.382101455
230000.000000000   21.286962434
232000.000000000   21.005600482
234000.000000000   20.864250715
236000.000000000   20.799533672
238000.000000000   20.728114994
240000.000000000   20.603382788
242000.000000000   20.501835823
244000.000000000   20.407609317
246000.000000000   20.330958408
248000.000000000   20.256353394
250000.000000000   20.194276272
252000.000000000   20.373397763
254000.000000000   20.314971854
256000.000000000   20.250675784
258000.000000000   20.226192280
260000.000000000   20.425667593
262000.000000000   20.618974395
264000.000000000   20.572289321
266000.000000000   20.487686537
268000.000000000   20.400001727
270000.000000000   20.301719405
272000.000000000   20.307258457
274000.000000000   20.486550259
276000.000000000   20.672111485
278000.000000000   20.849812363
280000.000000000   21.026186034
282000.000000000   21.207530641
284000.000000000   21.373189544
286000.000000000   21.347227830
288000.000000000   21.233107991
290000.000000000   21.007674858
292000.000000000   21.110911234
294000.000000000   21.168225012
296000.000000000   21.219747607
298000.000000000   21.271324928
300000.000000000   21.179487604
302000.000000000   21.104298962
304000.000000000   21.052694221
306000.000000000   21.012218441
308000.000000000   20.990682204
310000.000000000   20.716560068
312000.000000000   20.447444976
314000.000000000   20.386380455
316000.000000000   20.236280875
318000.000000000   19.964084896
320000.000000000   19.938832304
322000.000000000   20.099810991
324000.000000000   20.246658508
326000.000000000   20.398377127
328000.000000000   20.649721526
330000.000000000   20.805742619
332000.000000000   20.810489022
334000.000000000   20.753577680
336000.000000000   20.585743217
338000.000000000   20.593630773
340000.000000000   20.732012805
342000.000000000   20.878852017
344000.000000000   21.024792288
346000.000000000   21.263844058
348000.000000000   21.416160063
350000.000000000   21.505076505
352000.000000000   21.460984726
354000.000000000   21.442919950
356000.000000000   21.586918055
358000.000000000   21.718276122
360000.000000000   21.859161073
362000.000000000   21.992179738
364000.000000000   22.127882300
366000.000000000   22.260933524
368000.000000000   22.100395083
370000.000000000   21.808606088
372000.000000000   21.375312572
374000.000000000   21.106993016
376000.000000000   20.913785255
378000.000000000   20.697357367
380000.000000000   20.658859688
382000.000000000   20.615212374
384000.000000000   20.740299702
386000.000000000   20.868073197
388000.000000000   20.998727209
390000.000000000   21.127643859
392000.000000000   21.251854776
394000.000000000   21.378426372
396000.000000000   21.497174280
398000.000000000   21.621094064
400000.000000000   21.745267709
