# time  rct
0 0
   2.500000000    0.250682659
   5.000000000    0.902121309
   7.500000000    1.376062005
  10.000000000    1.710731145
  12.500000000    1.926031985
  15.000000000    2.226492669
  17.500000000    2.432554442
  20.000000000    2.482747526
  22.500000000    2.691893428
  25.000000000    2.777863230
  27.500000000    2.872575296
  30.000000000    2.954948361
  32.500000000    3.033139037
  35.000000000    3.107211210
  37.500000000    3.147757295
  40.000000000    3.191730939
  42.500000000    3.219764742
  45.000000000    3.239211634
  47.500000000    3.252558670
  50.000000000    3.262702163
  52.500000000    3.267987155
  55.000000000    3.284373526
  57.500000000    3.289060650
  60.000000000    3.297391680
  62.500000000    3.306165218
  65.000000000    3.308858868
  67.500000000    3.314555024
  70.000000000    3.324192872
  72.500000000    3.326735675
  75.000000000    3.331280898
  77.500000000    3.334752426
  80.000000000    3.336737102
  82.500000000    3.337770040
  85.000000000    3.339153017
  87.500000000    3.340138276
  90.000000000    3.340748206
  92.500000000    3.342119728
  95.000000000    3.342581658
  97.500000000    3.343547358
 100.000000000    3.344720141
 102.500000000    3.345398853
 105.000000000    3.345835922
 107.500000000    3.346103707
 110.000000000    3.346744803
 112.500000000    3.347239654
 115.000000000    3.347544239
 117.500000000    3.347751698
 120.000000000    3.347927316
 122.500000000    3.348072378
 125.000000000    3.348198118
 127.500000000    3.348539221
 130.000000000    3.348630740
 132.500000000    3.348718655
 135.000000000    3.348898075
 137.500000000    3.348943206
 140.000000000    3.349151692
 142.500000000    3.349390963
 145.000000000    3.349546692
 147.500000000    3.349663791
 150.000000000    3.349772034
 152.500000000    3.349845704
 155.000000000    3.349906979
 157.500000000    3.349965853
 160.000000000    3.350013477
 162.500000000    3.350049665
 165.000000000    3.350087715
 167.500000000    3.350107549
 170.000000000    3.350127704
 172.500000000    3.350141805
 175.000000000    3.350186248
 177.500000000    3.350232172
 180.000000000    3.350261460
 182.500000000    3.350282801
 185.000000000    3.350320966
 187.500000000    3.350331423
 190.000000000    3.350337764
 192.500000000    3.350354759
 195.000000000    3.350414578
 197.500000000    3.350526908
 200.000000000    3.350872919
 202.500000000    3.351023508
 205.000000000    3.351718076
 207.500000000    3.351735473
 210.000000000    3.351739049
 212.500000000    3.351761343
 215.000000000    3.351787275
 217.500000000    3.351807867
 220.000000000    3.351823322
 222.500000000    3.351835437
 225.000000000    3.351843154
 227.500000000    3.351855051
 230.000000000    3.351864975
 232.500000000    3.351874034
 235.000000000    3.351884120
 237.500000000    3.351890403
 240.000000000    3.351897790
 242.500000000    3.351902052
 245.000000000    3.351908474
 247.500000000    3.351914617
 250.000000000    3.351917871
 252.500000000    3.351922470
 255.000000000    3.351926561
 257.500000000    3.351930376
 260.000000000    3.351932865
 262.500000000    3.351935344
 265.000000000    3.351937994
 267.500000000    3.351939852
 270.000000000    3.351942363
 272.500000000    3.351944146
 275.000000000    3.351946714
 277.500000000    3.351948216
 280.000000000    3.351949805
 282.500000000    3.351954105
 285.000000000    3.351957841
 287.500000000    3.351959214
 290.000000000    3.351960250
 292.500000000    3.351962047
 295.000000000    3.351963032
 297.500000000    3.351964790
 300.000000000    3.351965964
 302.500000000    3.351967350
 305.000000000    3.351970306
 307.500000000    3.351971481
 310.000000000    3.351972240
 312.500000000    3.351986762
 315.000000000    3.351996806
 317.500000000    3.353982303
 320.000000000    3.354698767
 322.500000000    3.358120000
 325.000000000    3.906264862
 327.500000000    4.310149244
