#! FIELDS idx_dim1 idx_dim2 pot.coeffs index description
#! SET type LinearBasisSet
#! SET ndimensions  2
#! SET ncoeffs_total  25
#! SET shape_dim1  5
#! SET shape_dim2  5
       0       0         17.0874       0  1*1
       1       0         1.35688       1  s^1*1
       2       0        -8.33631       2  s^2*1
       4       0         2.01824       4  s^4*1
       0       1         1.50000       5  1*s^1
       3       1        -2.85317       8  s^3*s^1
       0       2        -9.66369      10  1*s^2
       2       2         5.89058      12  s^2*s^2
       1       3         2.85317      16  s^1*s^3
       0       4         2.01824      20  1*s^4
#!-------------------


